appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
322330,Don't Starve Together,Survival,Klei Entertainment,9857.18,7468.34,6297.23,7119.45,6638.8,7648.34,7922.88,6321.03,5597.56,6157.08,10026.49,8831.15,9086.3,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,411318,5959381
644930,They Are Billions,,Numantian Games,0,0,0,0,0,0.21,0.11,0.11,0.11,1.19,300.13,5115.15,10639.12,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,195549,489896
365590,Tom Clancys The Division,Shooter,Massive Entertainment,10599.14,5089.15,6044.29,3808.58,4667.66,3139.3,3746.01,4100.56,5988.17,4431.48,2774.91,12920.24,11063.28,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,207067,1565672
220200,Kerbal Space Program,Simulation,Squad,3607.15,3226.08,3014.75,3021.4,3055.78,3104.31,3346.01,2750.21,2691.43,2874.38,2677.41,3278.53,3378.25,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,136424,1907626
244850,Space Engineers,Sandbox,Keen Software House,4420.97,2972.96,2554.73,3091.4,2973.98,2725.77,2741.55,2943.32,3197.1,2799.48,3004.29,3779.47,3598.51,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,109292,2164604
595520,FINAL FANTASY XII THE ZODIAC AGE,N/A,Square Enix,0,0,0,0,0,0,0,0,0,0,0,0,0.48,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,45304,45304
577800,NBA 2K18,Sports,Visual Concepts,0,0,0,0,0,0,0,0,11566.6,8536.87,7389.33,7421.7,7891.27,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,152805,266960
227940,Heroes & Generals,Shooter,RETO MOTO,4764.61,5287.89,4950.02,5395.41,4682.55,4694.3,3977.68,3708.66,3645.44,3691.38,4360.71,4733.1,4245.84,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,313032,11848374
325610,Total War: ATTILA,Strategy,Creative Assembly,4326.74,3911.87,3166.83,3137.01,2958.52,3092.89,3576.31,3267.55,3630.4,2755.37,2944.9,3261.44,3391.9,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,109292,999245
291480,Warface,Shooter,Crytek,1938.15,629.18,1625.76,2784.37,2650.33,2714.52,3342.04,3697.68,3130.19,3099.34,3155.36,3958.62,4025.02,"$12,219,710.80 ","$11,774,080.16 ","$11,723,271.79 ","$10,709,706.74 ","$9,903,983.44 ","$9,786,487.73 ","$10,609,393.91 ","$10,327,644.49 ","$10,468,587.19 ","$10,308,258.76 ","$10,242,592.86 ","$9,987,993.53 ",$0 ,279502,6091965
4700,Medieval II: Total War,Strategy,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)",2955.57,2938.99,2716.16,2799.84,2806.73,2869.59,3023.3,3072.7,3073.86,2760.16,2683.89,2979.57,3112.13,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,104173,1438462
700030,Life is Feudal: MMO,N/A,Bitbox Ltd.,0,0,0,0,0,0,0,0,0,0,0.52,0.17,2498.83,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,31226,51447
364360,Total War: WARHAMMER,RTS,"Creative Assembly, Feral Interactive (Linux), Feral Interactive (Mac)",9588.77,11609.15,13952.13,10097.49,7668.69,7985.39,11151.18,14420.63,10626.39,5143.63,3783.78,3711.97,3759.99,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,126953,1704143
211820,Starbound,Sandbox,Chucklefish,5075.08,4393.76,3097.79,2949.54,3087.03,6635.44,5501.11,3812.56,3256.65,3124.89,3323.05,3684.68,4262.63,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,152549,3018979
10500,Empire: Total War,Strategy,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)",3111.05,3120.44,2886.54,2924.55,2751.16,2810.14,2807.33,2731.25,2803.11,2717.18,2641.2,2816.22,2883.36,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,104173,3177671
22380,Fallout: New Vegas,RPG,Obsidian Entertainment,2810.68,2679.37,2432.39,2751.98,2953.11,3557.01,4132.97,3677.21,3804.37,3623.45,3333.42,3508.06,3537.55,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,154340,4447972
304050,Trove,Sandbox,Trion Worlds,4779.85,4693.13,4386.52,4325.91,3916.95,4044.99,6090.29,5837.8,4480.71,3602.73,3575.23,3654.61,3406.72,"$962,793.77 ","$838,815.90 ","$803,305.61 ","$820,692.65 ","$773,827.02 ","$603,705.69 ","$605,640.23 ","$684,865.18 ","$532,177.56 ","$453,441.97 ","$488,624.01 ","$520,208.02 ",$0 ,184543,8009830
322170,Geometry Dash,Action,RobTop Games,3911.87,4491.97,3777.49,3574.99,3146.89,3353.1,3066.99,2911.53,2611.74,2591.78,3279.25,3575.65,3761.54,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,191454,978001
386180,Crossout,N/A,Targem Games,178,80.14,54.11,56.12,68.22,637.98,1224.51,4914.49,4867.75,4426.96,3415.76,3165.74,3106.23,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,146918,1249568
232090,Killing Floor 2,Shooter,Tripwire Interactive,3480.71,2622.84,3395.78,2896.86,2153.88,4324.89,3791.96,2661.26,2264.95,3379.28,3499.18,7630.19,4521.22,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,179168,1643738
440900,Conan Exiles,Survival,Funcom,517.38,21866.4,6980.2,3910.43,2125.87,1794.61,1570.09,3579.79,3005.11,1888,1862.32,2617.57,3260.05,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,46840,659338
8500,EVE Online,RPG,CCP,3247.86,2915.79,2618.76,2552.84,2512.29,2288.85,2100.16,2125.47,2337.62,2505.56,2582.47,3003.34,3074.95,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,69108,1304342
219990,Grim Dawn,RPG,Crate Entertainment,3944.73,3054.6,3821.77,2944.61,2327.38,2608.87,2874.65,1885.52,1799.88,7669.88,6436.97,4344.76,4269.2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,75251,1066305
582160,Assassin's Creed Origins,N/A,Ubisoft Montreal,0,0,0,0,0,0,0,0,0,0,14281.45,7535.01,7082.12,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,224216,606099
